!Agilent Technologies,E4990A,MY54201829,A.02.20
!Date: Fri Mar 18 03:40:07 2022

BEGIN CH1_DATA
Frequency(Hz), |Z|(Ohm)-data, theta-z(deg)-data
+9.06750263000e+005, +9.33405849680e+002, +8.71594425850e+001
+9.15406470000e+005, +9.48840867265e+002, +8.71233763930e+001
+9.24145313000e+005, +9.64705461352e+002, +8.70840765650e+001
+9.32967580000e+005, +9.81036539257e+002, +8.70463988892e+001
+9.41874069000e+005, +9.97833332762e+002, +8.70056766179e+001
+9.50865582000e+005, +1.01515679494e+003, +8.69651110545e+001
+9.59942932000e+005, +1.03297129410e+003, +8.69231134192e+001
+9.69106938000e+005, +1.05133847851e+003, +8.68789416062e+001
+9.78358427000e+005, +1.07028682152e+003, +8.68349308344e+001
+9.87698235000e+005, +1.08983852974e+003, +8.67882060980e+001
+9.97127204000e+005, +1.10999051961e+003, +8.67417512050e+001
+1.00664618600e+006, +1.13081324696e+003, +8.66932463772e+001
+1.01625604100e+006, +1.15236589155e+003, +8.66420576186e+001
+1.02595763500e+006, +1.17464609853e+003, +8.65918853572e+001
+1.03575184400e+006, +1.19771870177e+003, +8.65370274762e+001
+1.04563955300e+006, +1.22153255925e+003, +8.64816296591e+001
+1.05562165300e+006, +1.24629417508e+003, +8.64241649964e+001
+1.06569904700e+006, +1.27192292094e+003, +8.63666817610e+001
+1.07587264400e+006, +1.29852361590e+003, +8.63040817857e+001
+1.08614336300e+006, +1.32614941419e+003, +8.62398162784e+001
+1.09651212900e+006, +1.35484194387e+003, +8.61743303355e+001
+1.10697988000e+006, +1.38472837938e+003, +8.61054813362e+001
+1.11754756100e+006, +1.41580818373e+003, +8.60335713526e+001
+1.12821612500e+006, +1.44817965052e+003, +8.59594629957e+001
+1.13898653500e+006, +1.48201660378e+003, +8.58802921583e+001
+1.14985976400e+006, +1.51729134481e+003, +8.58001595105e+001
+1.16083679400e+006, +1.55416495052e+003, +8.57172136307e+001
+1.17191861400e+006, +1.59271067071e+003, +8.56278599456e+001
+1.18310622700e+006, +1.63309489180e+003, +8.55352153840e+001
+1.19440064000e+006, +1.67547075005e+003, +8.54392629967e+001
+1.20580287500e+006, +1.71998422151e+003, +8.53357120889e+001
+1.21731396000e+006, +1.76668872266e+003, +8.52297718248e+001
+1.22893493500e+006, +1.81590180308e+003, +8.51172482149e+001
+1.24066684800e+006, +1.86781528325e+003, +8.49988321027e+001
+1.25251075900e+006, +1.92254306119e+003, +8.48752968863e+001
+1.26446773600e+006, +1.98045915400e+003, +8.47433853181e+001
+1.27653886000e+006, +2.04183494052e+003, +8.46013516346e+001
+1.28872522000e+006, +2.10683424318e+003, +8.44528686774e+001
+1.30102791500e+006, +2.17601679688e+003, +8.42922129327e+001
+1.31344805700e+006, +2.24971002766e+003, +8.41257413460e+001
+1.32598676700e+006, +2.32832701329e+003, +8.39442289255e+001
+1.33864517700e+006, +2.41249934893e+003, +8.37500581806e+001
+1.35142442800e+006, +2.50277305847e+003, +8.35451289172e+001
+1.36432567600e+006, +2.59981988529e+003, +8.33220122639e+001
+1.37735008400e+006, +2.70436218257e+003, +8.30803071671e+001
+1.39049882900e+006, +2.81751267659e+003, +8.28191922053e+001
+1.40377309700e+006, +2.94023558790e+003, +8.25336789284e+001
+1.41717408600e+006, +3.07377299407e+003, +8.22250709677e+001
