!Agilent Technologies,E4990A,MY54201829,A.02.20
!Date: Thu Nov 04 14:24:30 2021

BEGIN CH1_DATA
Frequency(Hz), |Z|(Ohm)-data, theta-z(deg)-data
+4.19276000000e+004, +1.84313453815e+002, +8.93325719163e+001
+4.21696500000e+004, +1.85383423316e+002, +8.93332996067e+001
+4.24130980000e+004, +1.86455900188e+002, +8.93361316741e+001
+4.26579520000e+004, +1.87535724128e+002, +8.93343558204e+001
+4.29042190000e+004, +1.88631917001e+002, +8.93371172633e+001
+4.31519080000e+004, +1.89731087509e+002, +8.93374561814e+001
+4.34010260000e+004, +1.90826790148e+002, +8.93348327764e+001
+4.36515830000e+004, +1.91937733706e+002, +8.93353365352e+001
+4.39035870000e+004, +1.93055552471e+002, +8.93368351138e+001
+4.41570450000e+004, +1.94181597486e+002, +8.93390800447e+001
+4.44119660000e+004, +1.95312038848e+002, +8.93379378105e+001
+4.46683590000e+004, +1.96456156993e+002, +8.93392689230e+001
+4.49262320000e+004, +1.97590047133e+002, +8.93374928976e+001
+4.51855940000e+004, +1.98740818426e+002, +8.93387961400e+001
+4.54464540000e+004, +1.99898977157e+002, +8.93422801966e+001
+4.57088190000e+004, +2.01068293101e+002, +8.93390914882e+001
+4.59726990000e+004, +2.02236832924e+002, +8.93379880225e+001
+4.62381020000e+004, +2.03413683586e+002, +8.93443710526e+001
+4.65050380000e+004, +2.04599887046e+002, +8.93372417443e+001
+4.67735140000e+004, +2.05793807679e+002, +8.93403004047e+001
+4.70435410000e+004, +2.06983412217e+002, +8.93435231203e+001
+4.73151260000e+004, +2.08190632343e+002, +8.93439202010e+001
+4.75882790000e+004, +2.09411488446e+002, +8.93404926012e+001
+4.78630090000e+004, +2.10650257232e+002, +8.93452435524e+001
+4.81393250000e+004, +2.11883548351e+002, +8.93439377716e+001
+4.84172370000e+004, +2.13118009330e+002, +8.93458136343e+001
+4.86967530000e+004, +2.14360521914e+002, +8.93404011323e+001
+4.89778820000e+004, +2.15610080543e+002, +8.93414454099e+001
+4.92606340000e+004, +2.16888533388e+002, +8.93477082045e+001
+4.95450190000e+004, +2.18138531441e+002, +8.93443891184e+001
+4.98310460000e+004, +2.19415684862e+002, +8.93398210629e+001
+5.01187230000e+004, +2.20700994101e+002, +8.93396956717e+001
+5.04080620000e+004, +2.22005933944e+002, +8.93471495175e+001
+5.06990710000e+004, +2.23284659077e+002, +8.93424797003e+001
+5.09917600000e+004, +2.24608622520e+002, +8.93475427695e+001
+5.12861380000e+004, +2.25931052264e+002, +8.93439484617e+001
+5.15822170000e+004, +2.27253903345e+002, +8.93437899583e+001
+5.18800040000e+004, +2.28595633032e+002, +8.93463500875e+001
+5.21795100000e+004, +2.29929084187e+002, +8.93471824741e+001
+5.24807460000e+004, +2.31276098431e+002, +8.93418988197e+001
+5.27837210000e+004, +2.32661940484e+002, +8.93471860641e+001
+5.30884440000e+004, +2.34021271168e+002, +8.93449568789e+001
+5.33949270000e+004, +2.35406049650e+002, +8.93411680496e+001
+5.37031800000e+004, +2.36798545744e+002, +8.93401377156e+001
+5.40132110000e+004, +2.38194554762e+002, +8.93428327883e+001
+5.43250330000e+004, +2.39612521152e+002, +8.93361678958e+001
+5.46386550000e+004, +2.41052762382e+002, +8.93358855158e+001
+5.49540870000e+004, +2.42492547652e+002, +8.93307231605e+001
+5.52713410000e+004, +2.43957281962e+002, +8.93278407673e+001
+5.55904260000e+004, +2.45444117395e+002, +8.93127559723e+001
+5.59113530000e+004, +2.46942920921e+002, +8.92939318963e+001
+5.62341330000e+004, +2.48460634698e+002, +8.92591799883e+001
+5.65587760000e+004, +2.49916758541e+002, +8.91977915543e+001
+5.68852930000e+004, +2.51141596473e+002, +8.91233570646e+001
+5.72136950000e+004, +2.52057710186e+002, +8.91206505392e+001
+5.75439940000e+004, +2.53273553176e+002, +8.91996968962e+001
+5.78761990000e+004, +2.54776670497e+002, +8.92619022061e+001
+5.82103220000e+004, +2.56344887069e+002, +8.93019706241e+001
+5.85463740000e+004, +2.57927143494e+002, +8.93170226469e+001
+5.88843660000e+004, +2.59490018204e+002, +8.93286338742e+001
+5.92243090000e+004, +2.61065805234e+002, +8.93365594585e+001
+5.95662140000e+004, +2.62645712598e+002, +8.93436155521e+001
+5.99100940000e+004, +2.64225991675e+002, +8.93447880679e+001
+6.02559590000e+004, +2.65806605856e+002, +8.93461083107e+001
+6.06038200000e+004, +2.67389060449e+002, +8.93476704582e+001
+6.09536900000e+004, +2.68982740177e+002, +8.93497995626e+001
+6.13055790000e+004, +2.70594075651e+002, +8.93483123320e+001
+6.16595000000e+004, +2.72193645298e+002, +8.93507413232e+001
+6.20154640000e+004, +2.73823117098e+002, +8.93530521356e+001
+6.23734840000e+004, +2.75450933436e+002, +8.93506250174e+001
